N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,rice
85,58,41,21.77,80.31,7.03,226.65,rice
60,55,44,23.00,82.32,7.84,263.96,rice
74,35,40,26.49,80.15,6.98,242.86,rice
78,42,42,20.13,81.60,7.62,262.71,rice
69,55,38,22.70,80.31,5.70,110.21,maize
61,44,41,20.75,81.01,5.77,80.25,maize
66,51,36,25.43,84.34,6.72,66.82,maize
0,0,0,22.50,55.00,7.00,10.00,wheat
10,10,10,23.50,56.00,7.10,11.00,wheat
20,20,20,24.50,57.00,7.20,12.00,wheat
32,32,32,25.50,58.00,7.30,13.00,wheat
2,138,200,21.91,90.69,6.01,116.63,grapes
35,125,198,23.86,92.54,6.03,115.36,grapes
15,140,205,22.68,91.68,5.55,119.53,grapes
10,10,10,20.00,50.00,5.00,50.00,mango
20,20,20,30.00,60.00,6.00,60.00,mango
30,30,30,40.00,70.00,7.00,70.00,mango
40,40,40,23.00,50.00,5.00,50.00,orange
30,30,30,24.00,60.00,6.00,60.00,orange
20,20,20,25.00,70.00,7.00,70.00,orange
10,10,10,26.00,50.00,5.00,50.00,papaya
20,20,20,27.00,60.00,6.00,60.00,papaya
30,30,30,28.00,70.00,7.00,70.00,papaya
40,40,40,29.00,50.00,5.00,50.00,coconut
30,30,30,22.00,60.00,6.00,60.00,coconut
20,20,20,23.00,70.00,7.00,70.00,coconut
10,10,10,24.00,50.00,5.00,50.00,cotton
20,20,20,25.00,60.00,6.00,60.00,cotton
30,30,30,26.00,70.00,7.00,70.00,cotton
40,40,40,27.00,50.00,5.00,50.00,jute
30,30,30,28.00,60.00,6.00,60.00,jute
20,20,20,29.00,70.00,7.00,70.00,jute
10,10,10,20.00,50.00,5.00,50.00,coffee
20,20,20,21.00,60.00,6.00,60.00,coffee
30,30,30,22.00,70.00,7.00,70.00,coffee
